_id,Field Name,Dedicated Division,Facility,Neighborhood,Battting Cage,Concession Stand,Back Stop,Infield,Goal Post,Lights,Left,Center,Right,Permit,Drag,Pashek Map Number,Field Renovated,CD,Lights Renovated,Control Link
1,Ammon Field #1,Schenley,AMMON PLAYGROUND,Bedford Dwellings,,,1,1,,1,325,281,294,Yes,Yes,3,2008 (R Sprow ),Yes,"",Yes
2,Ammon Field #2,Schenley,AMMON PLAYGROUND,Bedford Dwellings,,,1,1,,1,279,200,227,Yes,Yes,4,2008 (R Sprow ),Yes,"",Yes
3,Arlington Field #1,Southern,ARLINGTON PLAYGROUND,Southside Slopes,,,1,1,,1,250,250,250,Yes,Yes,5,"",Yes,"",Yes
4,Armstrong Field,Southern,ARMSTRONG PLAYGROUND,Southside Flates,,,1,1,,,231,174,120,Yes,Yes,7,"",Yes,"",No
5,Arsenal Band Box,Northeast,ARSENAL PARK,Lower Lawrenceville,,,1,1,,,194,190,169,Yes,Yes,8,"",Yes,"",No
6,Arsenal Middle,Northeast,ARSENAL PARK,Lower Lawrenceville,,,1,1,,,266,210,205,Yes,Yes,9,"",Yes,"",No
7,Banksville Field,Western,BANKSVILLE PARK,Bankville,1,,1,1,,,300,300,300,Yes,Yes,10,2009 (Plavchak),No,"",No
8,Banksville School Field,Western,BANKSVILLE SCHOOL,Bankville,,1,1,1,,1,180,200,190,Yes,Yes,11,"2005 (R. Sprow $6,693.70), 2008 ( Plavchak $3,416.28)",No,"",Yes
9,Bigbee Field,Southern,BIGBEE FIELD,Allentown,,,,,,,"","","",Yes,No,12,"",Yes,"",No
10,Bill Stolz Field #2,Southern,ARLINGTON PLAYGROUND,Southside Slopes,,,1,1,,1,180,190,180,Yes,Yes,6,"",Yes,"",Yes
11,Braddock Field #1,Eastern,FRICK PARK,Squirrel Hill South,1,2,1,1,,,326+,336,260+,Yes,Yes,47,"2008 ( Plavchak $13,907.80)",No,"",No
12,Braddock Field #2,Eastern,FRICK PARK,Squirrel Hill South,,2,1,1,,,408,362,267,Yes,Yes,48,"2008 ( Plavchak $13,907.80)",No,"",No
13,Brighton Hights Field # 4,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,,1,1,1,,,374,361,194,Yes,Yes,18,"",No,"",No
14,Brighton Hights Field # 5,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,,1,1,1,,,318,363,263,Yes,Yes,19,"",No,"",No
15,Brighton Hights Field #1,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,,1,1,1,,,228,238,300+,Yes,Yes,15,"",No,"",No
16,Brighton Hights Field #2,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,,1,1,1,,,260,375,252,Yes,Yes,16,"",No,"",No
17,Broadhead manor,Western,BROADHEAD MANOR FIELD,Broadhead Manor,,,1,1,,,"","","",Yes,Yes,,"",Yes,"",No
18,Brookline T-ball,Southern,BROOKLINE MEMORIAL FIELD,Brookline,,2,1,1,,,"","","",Yes,Yes,,2003 (Built in house),No,"",No
19,Bud Hammer Field,Schenley,BUD HAMMER PLAYGROUND,Hazelwood,1,1,1,1,,,180,190,177,Yes,Yes,25,"2004 (R.Sprow 6,953.50)",Yes,"",No
20,Burgwin Field,Schenley,BURGWIN PLAYGROUND,Hazelwood,,,1,1,1,1,327,310,298,Yes,Yes,26,"2004 (R.Sprow 11,202.13)",Yes,"",Yes
21,Camelius Sangnini Field # 6,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,,1,1,1,,,197,196,197,Yes,Yes,20,"",No,"",No
22,Carmalt School Field,Southern,CARMALT SCHOOL,Overbrook,,,1,1,,,"","","",Yes,Yes,27,"",No,"",No
23,Chadwick Field,Eastern,CHADWICK REC CENTER,Lincoln-Lemington-Belmar,,1,1,,,,"","","",Yes,Yes,28,2007 / 2009,Yes,"",No
24,Chartiers Field #1,Western,CHARTIERS PLAYGROUND,Windgap,1,1,1,1,,1,305,340,360,Yes,Yes,29,"2004 (R. Sprow $8,818.84)",No,"",Yes
25,Chartiers Field #2,Western,CHARTIERS PLAYGROUND,Windgap,,1,1,,,1,360,340,305,Yes,No,30,"",No,"",Yes
26,Cowley Field #1,Northern,COWLEY PLAYGROUND,Troy Hill,,1,1,1,,1,248,264,178,Yes,Yes,31,"2004 (R.Sprow $7,576.48)",Yes,"",Yes
27,Cowley Field #2,Northern,COWLEY PLAYGROUND,Troy Hill,1,1,1,1,,1,217,220,170,Yes,Yes,32,"2004 (R.Sprow $9,031.20)",Yes,"",Yes
28,Dan Marino Field,Schenley,FRAZIER PLAYGROUND,South Oakland,,,1,1,,1,"","","",Yes,Yes,46,"2004 (R. Sprow $6,794.00)",Yes,"",Yes
29,Dan McGibbeny Field,Southern,BROOKLINE MEMORIAL FIELD,Brookline,,2,1,1,2,,200,197,197,Yes,Yes,22,"",No,"",No
30,Dean Field,Northeast,BLOOMFIELD PLAYGROUND,Bloomfield,1,1,1,1,,1,311,260,241,Yes,No,14,2007,Yes,"",Yes
31,Devlin Field,Southern,DEVLIN FIELD,Arlington,,,1,1,,,276,285,269,Yes,Yes,33,"",Yes,"",No
32,Dilworth Field #1,Western,MT WASHINGTON PARK,Mount Washington,,1,1,1,,1,172,157,210,Yes,Yes,85,"2005 (R. Sprow $9,360.90)",Yes,"",Yes
33,Dilworth Field #2,Western,MT WASHINGTON PARK,Mount Washington,,1,1,1,,1,148,154,193,Yes,Yes,86,"2005 (R. Sprow $9,360.90)",Yes,"",Yes
34,Dinan Field,Northeast,DINAN PLAYGROUND,Stanton Heights,,1,1,1,,,318,290,282,Yes,Yes,34,2009 (Plavchak),No,"",No
35,Dunbar Field #1,Western,DUNBAR PLAYGROUND,Crafton Heights,,1,1,1,,1,177,350,300,Yes,Yes,35,"2004 (R. Sprow $7,780.49)",No,"",Yes
36,Dunbar Field #2,Western,DUNBAR PLAYGROUND,Crafton Heights,,1,1,1,,1,"","","",Yes,Yes,36,"2004 (R. Sprow $6,128.29)",No,"",Yes
37,Dunbar Field #3,Western,DUNBAR PLAYGROUND,Crafton Heights,,1,1,1,,1,"","","",Yes,No,37,"",No,"",Yes
38,East Hills Park Field,Eastern,EAST HILLS PARK,East Hills,,,1,1,,1,325,266,248,Yes,Yes,38,"",Yes,Yes 5-2011,Yes
39,East Liberty Park,Northeast,EAST LIBERTY PARK,East Liberty,,,1,1,,,"","","",Yes,Yes,39,"",Yes,"",No
40,Farmhouse Field,Northeast,HIGHLAND PARK,Hihgland Park,,,1,1,,,210,255,191,Yes,Yes,59,"2008 ( Plavchak $13,907.80)",No,"",No
41,Fern Hollow,Eastern,FRICK PARK,Squirrel Hill South,,2,1,,2,,"","","",Yes,No,50,"2004 (R Sprow $4,150)",No,"",No
42,Fifty-Seventh St. Field,Northeast,FIFTY-SEVENTH ST PLAYGROUND,Upper Lawrenceville,1,,1,1,,,180,180,179,Yes,Yes,1,"",Yes,"",No
43,Fineview Field,Northern,FINEVIEW PLAYGROUND & FIELD,Fineview,,,1,1,,1,265,280,236,Yes,Yes,41,"",Yes,"",Yes
44,Fort Pitt Field #1,Northeast,FORT PITT PLAYGROUND,Garfield,,1,1,1,,1,315,387,284,Yes,Yes,42,"",Yes,"",Yes
45,Fort Pitt Field #2,Northeast,FORT PITT PLAYGROUND,Garfield,,1,1,,,1,269,300+,180,Yes,No,43,"",Yes,"",Yes
46,Four Mile Run Field,Schenley,FOUR MILE RUN PLAYGROUND,Greenfield,,,1,,,,160,140,130,Yes,No,44,"",No,"",No
47,Fowler Field # 1,Northern,FOWLER PARK,Perry South,,,1,,,1,372,346,271,Yes,Yes,45,"",Yes,Yes 5-2010,Yes
48,Fowler Field # 2,Northern,FOWLER PARK,Perry South,,,1,1,,,242,236,247,Yes,Yes,,"",Yes,"",No
49,Gardner Field,Northern,GARDNER FIELD,Troy Hill,,,1,1,,1,258,290,250,Yes,Yes,51,"",Yes,Yes 9-2011,Yes
50,Gladstone Field,Schenley,GLADSTONE FIELD,Hazelwood,,,1,1,,,256,274,163,Yes,Yes,52,"",Yes,"",No
51,Herschel Field #1 (Lower),Western,HERSCHEL PLAYGROUND,Elliott,,1,1,1,,1,315,387,367,Yes,Yes,53,"2004 (R. Sprow $9,756.50)",Yes,yes 9-2003,Yes
52,Herschel Field #2,Western,HERSCHEL PLAYGROUND,Elliott,1,1,1,1,,1,180,180,180,Yes,Yes,55,2002 (Construction Division),Yes,"",Yes
53,Heth's Field #1,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,376,315,195,Yes,Yes,56,"2004 (R.Sprow $8,220.29)",No,"",No
54,Heth's Field #2,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,362,270,182,Yes,Yes,57,"2004 (R.Sprow $7,763.13)",No,"",No
55,Heth's Field #3,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,"","","",Yes,Yes,58,"",No,"",No
