_id,id,pin,address,owner,parc_sq_ft,class,zoned_as,inventory_type,current_status,acquisition_method,acquisition_date,last_updated,latitude,longitude,census_tract,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
1344139,174724,0040C00013000000,859 FORD ST,City of Pittsburgh,3000,Vacant Land,R2-L,Public Sale,Sale Pending,Treasurer Sale,1944-06-05,2018-06-08,40.4414381656,-80.0577582106,42003281500,Crafton Heights,2,28,1-18,6,5,Northern,Emerald
1344140,177213,0087F00074000000,5611 MELVIN ST,City of Pittsburgh,432,Vacant Land,RM-M,Public Sale,Sale Pending,Treasurer Sale,1953-06-01,2018-06-13,40.4303039698,-79.9269071877,42003141300,Squirrel Hill South,5,14,2-21,4,3,Eastern,Frick
1344141,182429,0184E00080000000,1201  MIFFLIN RD,City of Pittsburgh,313196,Vacant Land,HC,URA Transfer,Available for Sale,Purchase,2003-03-26,2018-06-08,40.37134027978962,-79.91446869464471,42003310200,Lincoln Place,5,31,4-20,4,3,Eastern,Frick
1344142,977751,0027B00137000000,813 ANAHEIM ST,City of Pittsburgh,1500,Vacant Land,R2-L,Unknown,Cancelled,Treasurer Sale,2017-09-01,2018-06-14,40.4519537234,-79.9599934153,42003050600,Upper Hill,6,5,2-22,2,3,Central,Schenley
1344143,977773,0125G00082000000,6820 FRANKSTOWN AVE,City of Pittsburgh,3301,Building,R2-L,Unknown,Cancelled,Unknown,2017-09-01,2018-06-14,40.4579288157,-79.9052047642,42003120700,Homewood West,9,12,3-17,5,2,Eastern,Highland
1344144,914422,0125B00064000000,6520 WINSLOW ST,City of Pittsburgh,2084,Vacant Land,R1D-H,Public Sale,Available for Sale,Treasurer Sale,2017-10-27,2018-06-11,40.4620803133,-79.9095748367,42003120400,Larimer,9,12,3-12,5,2,Eastern,Highland
1344145,184341,0174B00173000000,7161  MOUNT VERNON ST,City of Pittsburgh,2325,Building,R2-L,Public Sale,Sale Pending,Treasurer Sale,2014-10-24,2018-06-05,40.46165473997088,-79.89478045647016,42003130100,Homewood North,9,13,3-17,5,2,Eastern,Highland
1344146,989729,0026K00111000000,3446 MONROE ST,City of Pittsburgh,2819,Vacant Land,R2-L,Public Sale,Sale Pending,Treasurer Sale,2018-10-19,2022-11-17,40.4564473399,-79.9608453632,42003050600,Upper Hill,6,5,2-24,2,3,Central,Schenley
1344147,989733,0050L00189000000,5166 BROAD ST,City of Pittsburgh,2375,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2018-10-19,2022-11-21,40.4659666106,-79.9403662696,42003101700,Garfield,9,10,3-4,5,2,Central,Northeast
1344148,177187,0083F00203000000,536 MELLON ST,City of Pittsburgh,802,Vacant Land,R2-H,Public Sale,Sale Pending,Treasurer Sale,1950-06-05,2022-11-17,40.4683727606,-79.9262672916,42003111300,East Liberty,9,11,3-8,5,2,Central,Northeast
